process,hurst_true,repeat,method,estimate,lag1_acf
fGn,0.5,2,custom_rs,0.5970181600153704,0.004768282184184249
fGn,0.5,2,custom_dfa,0.5577147209978519,0.004768282184184249
fGn,0.5,2,nolds_rs,0.5103776831269321,0.004768282184184249
fGn,0.5,2,nolds_dfa,0.5297354187866321,0.004768282184184249
fGn,0.5,3,custom_rs,0.5669010036854646,0.015878312218487536
fGn,0.5,3,custom_dfa,0.5396493107063742,0.015878312218487536
fGn,0.5,3,nolds_rs,0.49249842774190694,0.015878312218487536
fGn,0.5,3,nolds_dfa,0.5236245346767736,0.015878312218487536
fGn,0.5,4,custom_rs,0.5744015644893572,0.01186816564621127
fGn,0.5,4,custom_dfa,0.5351894144299133,0.01186816564621127
fGn,0.5,4,nolds_rs,0.5076697262024339,0.01186816564621127
fGn,0.5,4,nolds_dfa,0.5284192843029332,0.01186816564621127
fGn,0.5,5,custom_rs,0.5403253007119909,-0.013812173249497113
fGn,0.5,5,custom_dfa,0.5012128321402565,-0.013812173249497113
fGn,0.5,5,nolds_rs,0.4957166984765451,-0.013812173249497113
fGn,0.5,5,nolds_dfa,0.5044449428114954,-0.013812173249497113
fGn,0.5,6,custom_rs,0.6202576911511948,0.005402143698037063
fGn,0.5,6,custom_dfa,0.5798941313320534,0.005402143698037063
fGn,0.5,6,nolds_rs,0.5130927314852278,0.005402143698037063
fGn,0.5,6,nolds_dfa,0.5599782580396675,0.005402143698037063
fGn,0.5,7,custom_rs,0.5657349162024257,0.002259281983597709
fGn,0.5,7,custom_dfa,0.5106536003011254,0.002259281983597709
fGn,0.5,7,nolds_rs,0.5254330293415559,0.002259281983597709
fGn,0.5,7,nolds_dfa,0.538207282041012,0.002259281983597709
fGn,0.5,8,custom_rs,0.5041184398335126,-0.012559092159629408
fGn,0.5,8,custom_dfa,0.42836489903656877,-0.012559092159629408
fGn,0.5,8,nolds_rs,0.5445908232458893,-0.012559092159629408
fGn,0.5,8,nolds_dfa,0.4866247982019931,-0.012559092159629408
fGn,0.5,9,custom_rs,0.5604108090434312,-0.004976773005663318
fGn,0.5,9,custom_dfa,0.5075897408039796,-0.004976773005663318
fGn,0.5,9,nolds_rs,0.5005375113245069,-0.004976773005663318
fGn,0.5,9,nolds_dfa,0.5097847106449632,-0.004976773005663318
fGn,0.5,10,custom_rs,0.5809310432120035,-0.0162344636634414
fGn,0.5,10,custom_dfa,0.5391935530162396,-0.0162344636634414
fGn,0.5,10,nolds_rs,0.5173845725092495,-0.0162344636634414
fGn,0.5,10,nolds_dfa,0.5229252487528353,-0.0162344636634414
fGn,0.5,11,custom_rs,0.5808906677554813,0.002696894538446552
fGn,0.5,11,custom_dfa,0.5154519182372523,0.002696894538446552
fGn,0.5,11,nolds_rs,0.5062673041991544,0.002696894538446552
fGn,0.5,11,nolds_dfa,0.5262281343591207,0.002696894538446552
fGn,0.5,12,custom_rs,0.5683585254000662,-0.03234799980497094
fGn,0.5,12,custom_dfa,0.49879785528169485,-0.03234799980497094
fGn,0.5,12,nolds_rs,0.5010417374521626,-0.03234799980497094
fGn,0.5,12,nolds_dfa,0.5140168977091805,-0.03234799980497094
fGn,0.5,13,custom_rs,0.5357551212495014,-0.009461982237996484
fGn,0.5,13,custom_dfa,0.48796847674587046,-0.009461982237996484
fGn,0.5,13,nolds_rs,0.5078782743703992,-0.009461982237996484
fGn,0.5,13,nolds_dfa,0.5188469367437278,-0.009461982237996484
fGn,0.5,14,custom_rs,0.5328424060274306,0.008764378677182895
fGn,0.5,14,custom_dfa,0.45606468854613746,0.008764378677182895
fGn,0.5,14,nolds_rs,0.4849152686572563,0.008764378677182895
fGn,0.5,14,nolds_dfa,0.5005183187853852,0.008764378677182895
fGn,0.5,15,custom_rs,0.5301112665480759,-0.01571648278393294
fGn,0.5,15,custom_dfa,0.4825633389368534,-0.01571648278393294
fGn,0.5,15,nolds_rs,0.453255974871187,-0.01571648278393294
